CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn_probability,risk_band_default,risk_band_optimized,actual_churn,predicted_churn_f1
732,Spain,Male,33,8,0.0,1,1,0,119882.7,0.1429,Low,Low,0,0
789,France,Female,53,1,158271.74,1,1,1,5036.39,0.3927,Low,Medium,1,1
552,France,Female,34,5,0.0,2,1,1,1351.41,0.0336,Low,Low,0,0
621,France,Male,40,10,163823.37,1,0,0,89519.47,0.1718,Low,Low,0,0
766,France,Female,52,7,92510.9,2,0,1,66193.61,0.2444,Low,Low,0,0
685,Spain,Male,43,4,97392.18,2,1,0,43956.83,0.1453,Low,Low,0,0
649,Spain,Female,38,8,0.0,1,1,0,103760.53,0.2521,Low,Low,0,0
493,France,Female,36,2,0.0,2,0,1,99770.3,0.0401,Low,Low,0,0
633,France,Male,35,10,0.0,2,1,0,65675.47,0.0304,Low,Low,0,0
742,Germany,Male,33,1,137937.95,1,1,1,51387.1,0.1403,Low,Low,0,0
604,Spain,Female,41,10,0.0,2,1,1,166224.39,0.0557,Low,Low,0,0
759,France,Male,42,4,105420.18,1,0,1,121409.06,0.1265,Low,Low,0,0
683,France,Female,35,6,187530.66,2,1,1,37976.36,0.1929,Low,Low,0,0
678,France,Male,28,2,109137.12,1,1,1,58814.41,0.0581,Low,Low,0,0
628,France,Male,31,0,88421.81,1,0,0,72350.47,0.0834,Low,Low,0,0
850,France,Female,36,6,0.0,2,1,1,190194.95,0.0349,Low,Low,0,0
724,France,Female,34,2,0.0,2,1,1,118863.38,0.0296,Low,Low,0,0
828,France,Male,31,9,0.0,1,0,1,164257.37,0.089,Low,Low,0,0
569,Spain,Female,30,3,139528.23,1,1,1,33230.37,0.0887,Low,Low,0,0
677,France,Female,49,3,0.0,2,1,1,187811.71,0.1244,Low,Low,0,0
495,France,Female,38,2,63093.01,1,1,1,47089.72,0.1431,Low,Low,0,0
627,Germany,Female,33,4,83199.05,1,0,0,159334.93,0.2124,Low,Low,0,0
597,France,Female,36,9,0.0,2,1,1,7156.09,0.0404,Low,Low,0,0
762,France,Male,31,7,117687.35,1,1,1,159344.43,0.0553,Low,Low,0,0
476,Spain,Female,69,1,105303.73,1,0,1,134260.34,0.1517,Low,Low,0,0
499,France,Male,35,10,0.0,2,1,0,10722.54,0.0285,Low,Low,0,0
642,France,Male,62,7,0.0,2,1,1,61120.75,0.0557,Low,Low,0,0
562,France,Male,62,3,0.0,2,1,0,105986.01,0.5588,Medium,Medium,0,1
542,France,Female,25,7,0.0,2,0,1,82393.08,0.0306,Low,Low,0,0
451,France,Female,31,7,140931.82,1,0,1,20388.77,0.0664,Low,Low,0,0
712,France,Female,37,1,106881.5,2,0,0,169386.81,0.0915,Low,Low,0,0
565,France,Male,34,6,0.0,1,1,1,63173.64,0.1002,Low,Low,0,0
732,France,Female,36,9,0.0,1,0,0,3749.0,0.2176,Low,Low,1,0
771,Spain,Male,51,5,135506.58,3,1,1,152479.64,0.8872,High,High,1,1
655,France,Female,41,5,0.0,1,0,0,36548.0,0.3641,Low,Medium,1,1
683,Spain,Male,38,3,126152.84,1,0,0,15378.75,0.1334,Low,Low,0,0
764,Spain,Male,38,4,113607.47,1,1,0,91094.46,0.1251,Low,Low,0,0
438,France,Male,60,7,78391.17,1,0,1,49424.6,0.1902,Low,Low,0,0
762,Spain,Male,35,9,122929.42,2,0,0,149822.04,0.0635,Low,Low,0,0
622,Spain,Male,39,9,0.0,2,0,1,100862.36,0.0313,Low,Low,0,0
660,Spain,Female,33,1,0.0,2,0,0,117834.91,0.0459,Low,Low,0,0
498,France,Female,30,1,0.0,2,0,0,135795.53,0.0345,Low,Low,0,0
591,France,Male,29,6,0.0,2,1,1,108684.65,0.0242,Low,Low,0,0
554,Germany,Female,37,4,58629.97,1,0,0,182038.6,0.2825,Low,Low,0,0
506,France,Female,34,4,90307.62,1,1,1,159235.29,0.0779,Low,Low,0,0
505,Germany,Female,25,5,114268.85,2,1,1,126728.27,0.0649,Low,Low,0,0
633,France,Female,30,6,0.0,2,0,0,41642.29,0.0335,Low,Low,0,0
636,France,Female,24,9,0.0,2,0,1,38830.72,0.0309,Low,Low,0,0
768,France,Female,36,5,180169.44,2,1,0,17348.56,0.2357,Low,Low,0,0
712,Germany,Male,43,1,141749.74,2,0,1,90905.26,0.1441,Low,Low,0,0
593,Germany,Male,74,5,161434.36,2,1,1,65532.17,0.0468,Low,Low,0,0
708,Spain,Male,38,8,99640.89,1,1,0,12429.22,0.1258,Low,Low,0,0
529,France,Female,43,0,123815.86,1,1,1,78463.99,0.2367,Low,Low,1,0
579,Germany,Male,42,0,144386.32,1,1,1,22497.1,0.3475,Low,Medium,1,1
815,France,Male,24,7,171922.72,1,0,1,178028.96,0.0626,Low,Low,0,0
606,Germany,Male,40,1,144757.97,2,1,1,166656.18,0.0796,Low,Low,0,0
608,Spain,Female,63,3,139529.93,2,1,1,175696.16,0.1568,Low,Low,1,0
648,Germany,Female,40,5,139973.65,1,1,1,667.66,0.379,Low,Medium,1,1
482,France,Female,35,5,147813.05,2,0,0,109029.72,0.0793,Low,Low,0,0
625,France,Male,45,7,137555.44,1,0,0,124607.7,0.3842,Low,Medium,0,1
610,France,Female,27,2,0.0,2,1,0,14546.76,0.035,Low,Low,0,0
548,France,Male,29,5,83442.98,1,0,1,177017.39,0.0605,Low,Low,0,0
850,France,Female,32,5,106290.64,1,1,0,121982.73,0.0996,Low,Low,0,0
580,France,Male,55,6,104305.74,1,0,1,175750.21,0.2729,Low,Low,0,0
652,France,Male,27,10,107303.72,2,0,0,44435.76,0.0435,Low,Low,0,0
687,Spain,Female,29,7,93617.07,1,0,1,113050.92,0.0775,Low,Low,0,0
539,France,Male,30,0,0.0,2,1,0,160979.66,0.0284,Low,Low,0,0
470,Germany,Male,39,5,117469.91,2,0,0,63705.9,0.1105,Low,Low,0,0
514,France,Female,41,7,0.0,2,1,1,3756.65,0.0465,Low,Low,0,0
534,France,Male,24,1,0.0,1,1,1,169653.32,0.091,Low,Low,0,0
661,Germany,Male,37,7,109908.06,2,1,0,115037.67,0.1053,Low,Low,1,0
464,Germany,Male,37,4,155994.15,1,0,0,143665.44,0.2197,Low,Low,0,0
627,Spain,Female,25,4,0.0,1,1,1,194313.93,0.1973,Low,Low,0,0
781,Germany,Male,35,7,92526.15,2,1,1,173837.54,0.0428,Low,Low,0,0
555,Germany,Male,41,10,113270.2,2,1,1,185387.14,0.1072,Low,Low,0,0
619,Germany,Male,23,5,132725.1,1,1,1,143913.33,0.145,Low,Low,0,0
775,Germany,Female,38,6,179886.41,2,0,0,153122.58,0.0826,Low,Low,0,0
671,Germany,Female,44,0,84745.03,2,0,1,34673.98,0.201,Low,Low,0,0
735,Spain,Male,36,5,0.0,2,1,0,105152.17,0.0327,Low,Low,0,0
724,France,Female,30,9,142475.87,1,1,1,107848.24,0.0717,Low,Low,0,0
662,France,Female,39,5,139562.05,2,1,0,61636.22,0.0979,Low,Low,0,0
657,France,Female,37,6,95845.6,1,1,0,122218.23,0.1514,Low,Low,0,0
809,Spain,Male,33,9,0.0,1,1,1,124045.65,0.0884,Low,Low,0,0
501,France,Male,35,6,99760.84,1,1,1,13591.52,0.0683,Low,Low,0,0
564,France,Female,36,7,206329.65,1,1,1,46632.87,0.3909,Low,Medium,1,1
635,France,Male,33,1,0.0,3,0,0,178067.33,0.8476,High,High,1,1
790,France,Female,33,10,135120.72,1,0,0,195204.99,0.1101,Low,Low,0,0
656,France,Male,37,7,112291.34,1,1,0,153157.97,0.116,Low,Low,0,0
679,France,Male,60,8,0.0,2,1,1,51380.9,0.0544,Low,Low,0,0
692,France,Male,66,4,159732.02,1,1,1,118188.15,0.0885,Low,Low,0,0
710,France,Male,38,2,0.0,2,1,0,96.27,0.2502,Low,Low,0,0
769,France,Female,26,7,0.0,2,1,0,176843.53,0.0402,Low,Low,0,0
666,France,Female,34,9,115897.12,1,1,1,25095.03,0.0759,Low,Low,0,0
691,France,Male,52,3,0.0,1,1,0,175843.68,0.8513,High,High,1,1
604,France,Male,36,6,116229.85,2,1,1,79633.38,0.0486,Low,Low,0,0
544,France,Male,37,3,84496.71,1,0,0,79972.09,0.1222,Low,Low,0,0
609,France,Male,32,7,118520.41,1,0,0,3815.48,0.0779,Low,Low,0,0
597,Spain,Male,35,0,127510.99,1,1,1,155356.34,0.0729,Low,Low,0,0
549,France,Female,25,5,0.0,2,0,0,190857.79,0.0379,Low,Low,0,0
722,France,Female,49,3,168197.66,1,1,0,140765.57,0.5892,Medium,Medium,1,1
806,Spain,Male,18,3,0.0,2,1,1,86994.54,0.0371,Low,Low,0,0
517,Germany,Male,53,0,109172.88,1,1,0,54676.1,0.8676,High,High,1,1
651,France,Male,56,2,0.0,1,1,0,114522.68,0.9086,High,High,1,1
803,France,Female,40,6,165526.71,1,1,0,12328.08,0.2439,Low,Low,0,0
747,Spain,Male,37,1,0.0,2,0,1,180551.76,0.0282,Low,Low,0,0
648,Germany,Male,33,5,138664.24,1,1,0,29076.27,0.2141,Low,Low,0,0
438,France,Female,36,4,0.0,2,1,0,64420.5,0.053,Low,Low,0,0
781,Spain,Female,29,6,98759.89,1,0,0,112202.64,0.1255,Low,Low,0,0
610,Germany,Male,57,6,106938.11,2,0,1,186612.47,0.3231,Low,Low,0,0
628,France,Male,39,6,0.0,2,0,0,134441.6,0.0348,Low,Low,0,0
601,Spain,Male,24,7,0.0,2,0,0,144660.42,0.0294,Low,Low,0,0
629,France,Female,31,6,0.0,1,1,1,16447.6,0.1248,Low,Low,1,0
738,Germany,Male,62,10,83008.31,1,1,1,42766.03,0.2486,Low,Low,0,0
850,Germany,Male,30,5,123210.56,2,1,1,102180.27,0.0459,Low,Low,0,0
587,Germany,Male,46,9,107850.82,1,1,0,139431.0,0.7256,High,High,1,1
574,France,Male,34,1,112572.39,1,0,0,165626.6,0.0774,Low,Low,0,0
535,France,Female,45,2,0.0,2,0,1,170621.55,0.1317,Low,Low,0,0
565,France,Male,32,9,0.0,2,1,0,5388.3,0.0237,Low,Low,0,0
469,Germany,Female,52,8,139493.25,3,0,0,150093.32,0.9652,High,High,1,1
566,France,Male,42,3,108010.78,1,1,1,157486.1,0.1339,Low,Low,0,0
732,Spain,Female,33,8,111379.55,1,1,1,45098.62,0.0807,Low,Low,0,0
459,France,Male,26,4,149879.66,1,0,0,50016.17,0.0868,Low,Low,0,0
798,France,Male,37,8,0.0,3,0,0,110783.28,0.3907,Low,Medium,0,1
487,Germany,Female,61,5,110368.03,1,0,0,11384.45,0.9173,High,High,1,1
678,France,Female,38,2,0.0,2,0,0,115068.99,0.0505,Low,Low,0,0
850,France,Male,37,6,0.0,2,1,0,109291.22,0.0342,Low,Low,0,0
755,Germany,Female,33,6,90560.3,2,1,1,42607.69,0.0597,Low,Low,0,0
743,Germany,Female,32,6,140348.56,2,1,1,163254.39,0.0709,Low,Low,0,0
567,Germany,Female,46,1,68238.51,2,1,1,109572.58,0.2238,Low,Low,0,0
814,France,Female,36,6,0.0,2,1,1,98657.01,0.0367,Low,Low,0,0
543,France,Male,42,4,89838.71,3,1,0,85983.54,0.8694,High,High,1,1
663,Germany,Male,44,2,117028.6,2,0,1,144680.18,0.1868,Low,Low,0,0
621,Germany,Male,51,4,109978.83,1,0,0,177740.58,0.8552,High,High,1,1
666,Germany,Male,38,6,99812.88,2,1,1,158357.97,0.0602,Low,Low,0,0
600,Germany,Male,30,2,119755.0,1,1,1,21852.91,0.1565,Low,Low,0,0
699,Germany,Female,41,1,200117.76,2,1,0,94142.35,0.0937,Low,Low,0,0
569,Germany,Male,30,6,106629.49,1,0,1,44114.88,0.1556,Low,Low,0,0
702,Germany,Male,36,9,90560.48,2,1,0,174268.87,0.0626,Low,Low,0,0
832,France,Female,29,5,0.0,2,1,0,178779.52,0.0391,Low,Low,0,0
616,France,Female,66,1,135842.41,1,1,0,183840.51,0.7786,High,High,1,1
638,France,Female,34,7,0.0,2,1,1,198969.78,0.0345,Low,Low,0,0
582,France,Male,29,4,0.0,2,0,0,156153.27,0.0264,Low,Low,0,0
627,France,Male,73,0,146329.73,1,0,1,43615.67,0.0642,Low,Low,0,0
722,France,Male,30,5,0.0,2,1,0,166376.54,0.0278,Low,Low,0,0
483,Germany,Male,41,1,118334.44,1,0,0,163147.99,0.458,Medium,Medium,1,1
644,France,Female,24,8,92760.55,1,1,0,35896.75,0.0992,Low,Low,0,0
684,Spain,Male,39,4,207034.96,2,0,0,157694.76,0.1312,Low,Low,1,0
850,France,Male,34,6,0.0,1,0,1,52796.31,0.0926,Low,Low,0,0
625,France,Female,39,3,130786.92,1,0,1,121316.07,0.1457,Low,Low,0,0
814,France,Female,31,4,0.0,2,1,1,142029.17,0.0323,Low,Low,0,0
490,Germany,Male,33,5,96341.0,2,0,0,108313.34,0.0511,Low,Low,0,0
469,Spain,Male,37,9,96776.49,1,1,1,119890.86,0.0764,Low,Low,0,0
592,France,Male,39,7,0.0,2,1,0,83084.33,0.0348,Low,Low,0,0
718,France,Male,27,2,0.0,2,0,0,26229.24,0.0286,Low,Low,0,0
545,France,Female,26,1,0.0,2,1,1,199638.56,0.0346,Low,Low,0,0
726,France,Female,53,1,113537.73,1,0,1,28367.21,0.4005,Medium,Medium,0,1
660,Germany,Male,39,9,134599.33,2,1,0,183095.87,0.0907,Low,Low,0,0
762,France,Male,32,10,191775.65,1,1,0,179657.83,0.2593,Low,Low,0,0
628,France,Male,33,6,0.0,2,0,0,184230.23,0.0305,Low,Low,0,0
563,France,Female,39,5,0.0,2,1,1,17603.81,0.051,Low,Low,0,0
666,France,Female,32,10,112536.57,2,1,1,34350.54,0.0505,Low,Low,0,0
636,France,Male,43,6,0.0,2,1,0,43128.95,0.061,Low,Low,0,0
850,Germany,Female,45,5,103909.86,1,1,0,60083.11,0.6942,Medium,Medium,1,1
632,France,Male,60,2,0.0,2,0,1,2085.32,0.0792,Low,Low,0,0
756,France,Male,27,8,0.0,2,1,1,157932.75,0.0211,Low,Low,0,0
659,France,Female,50,3,0.0,1,1,0,183399.12,0.8487,High,High,1,1
733,France,Female,38,3,157658.36,1,0,0,19658.43,0.1669,Low,Low,0,0
651,Spain,Male,47,2,0.0,2,1,1,119808.64,0.0765,Low,Low,0,0
630,France,Female,40,7,0.0,2,1,1,34453.17,0.0462,Low,Low,0,0
711,France,Female,32,1,0.0,2,1,0,126188.42,0.0359,Low,Low,0,0
593,Spain,Female,45,6,79259.75,1,1,0,55347.28,0.5038,Medium,Medium,0,1
560,France,Male,50,3,0.0,2,1,0,84531.79,0.19,Low,Low,0,0
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,0.2916,Low,Low,1,0
598,Germany,Male,38,1,101487.18,1,1,1,75959.1,0.2358,Low,Low,1,0
829,Germany,Male,36,4,81795.74,2,1,0,90106.94,0.0447,Low,Low,0,0
592,France,Female,37,7,0.0,2,1,1,126726.33,0.0438,Low,Low,0,0
516,Spain,Female,31,7,0.0,1,1,0,47018.75,0.1695,Low,Low,0,0
603,France,Female,48,5,0.0,1,1,0,100478.6,0.7046,High,High,1,1
657,Spain,Female,22,6,0.0,3,0,1,168412.07,0.541,Medium,Medium,1,1
847,Germany,Female,41,3,101543.51,4,1,0,16025.17,0.8665,High,High,1,1
481,France,Female,34,5,0.0,2,1,1,125253.46,0.0306,Low,Low,0,0
711,France,Male,38,10,0.0,2,0,0,53311.78,0.0346,Low,Low,0,0
678,France,Female,32,5,0.0,2,1,0,90284.47,0.0369,Low,Low,0,0
617,Spain,Female,46,3,106521.49,1,0,1,86587.37,0.2923,Low,Low,0,0
756,France,Female,26,5,101641.14,2,0,1,154460.68,0.0521,Low,Low,0,0
808,France,Male,32,1,0.0,2,1,1,46200.71,0.0206,Low,Low,0,0
574,France,Male,33,8,100267.03,1,1,0,103006.27,0.0829,Low,Low,0,0
688,France,Female,39,0,0.0,2,1,0,53222.15,0.0614,Low,Low,1,0
671,Germany,Female,48,9,116711.06,2,0,0,76373.38,0.511,Medium,Medium,0,1
582,France,Female,32,4,0.0,2,1,0,59668.81,0.0369,Low,Low,0,0
670,France,Female,45,9,104930.38,1,1,0,155921.81,0.5241,Medium,Medium,1,1
795,France,Female,36,1,151844.64,1,1,1,135388.89,0.0903,Low,Low,0,0
554,France,Female,30,9,0.0,2,1,1,40320.3,0.0307,Low,Low,0,0
484,France,Female,50,2,90408.16,2,0,0,48170.57,0.4499,Medium,Medium,0,1
603,France,Male,51,8,186825.57,1,1,0,93739.71,0.7504,High,High,1,1
